s_agency_code, zip_code, state, city, address, longitude, latitude, arb_code, name
"061", "92570", "CA", "Perris", "237 1/2 N. D St.", "-117.22764", "33.78933", "33149", "Perris"
"061", "92201", "CA", "Indio", "46990 Jackson St", "-116.21540", "33.70857", "33157", "Indio-Jackson Street"
"061", "92530", "CA", "Lake Elsinore", "506 W Flint Street", "-117.33104", "33.67653", "33158", "Lake Elsinore-W Flint Street"
"061", "92220", "CA", "Banning", "200 S. Hathaway St", "-116.85841", "33.92077", "33164", "Banning-Airport"
"013", "95817", "CA", "Sacramento", "2221 Stockton Bl", "-121.45848", "38.55630", "34277", "Sacramento-Health Dept"
"013", "95660", "CA", "North Highlands", "7823 Blackfoot Way", "-121.38108", "38.71209", "34294", "North Highlands-Blackfoot Way"
"013", "95821", "CA", "Sacramento", "2701 Avalon Dr.", "-121.36801", "38.61374", "34295", "Sacramento-Del Paso Manor"
"001", "95814", "CA", "Sacramento", "1309 T Street", "-121.49311", "38.56844", "34305", "Sacramento - 1309 T Street"
"013", "95758", "CA", "Elk Grove", "12490 Bruceville Road", "-121.42083", "38.30256", "34310", "Elk Grove - Bruceville Road"
"013", "95630", "CA", "Folsom", "50 Natoma St", "-121.16444", "38.68329", "34311", "Folsom-Natoma Street"
"013", "95683", "CA", "Sloughhouse", "7520 Sloughhouse Rd", "-121.21115", "38.49444", "34312", "Sloughhouse"
"011", "95023", "CA", "Hollister", "1979 Fairview Rd", "-121.36210", "36.84343", "35823", "Hollister-Fairview Road"
"815", "95043", "CA", "Paicines", "5000 Hwy 146", "-121.15682", "36.48329", "35824", "Pinnacles National Monument"
"061", "92314", "CA", "Big Bear City", "501 Valley Bl", "-116.86147", "34.26464", "36001", "Big Bear"
"815", "92252", "CA", "Joshua Tree NP", "Black Rock", "-116.38893", "34.06959", "36152", "Joshua Tree National Monument"
"014", "92311", "CA", "Barstow", "1301 W. Mountain View St.", "-117.02471", "34.89405", "36155", "Barstow"
"061", "91786", "CA", "Upland", "1350 San Bernardino Rd", "-117.62906", "34.10367", "36175", "Upland"
"061", "92325", "CA", "Crestline", "24171 Lake Dr", "-117.27230", "34.24313", "36181", "Lake Gregory (Crestline)"
"061", "92335", "CA", "Fontana", "14360 Arrow Highway", "-117.49198", "34.10015", "36197", "Fontana-Arrow Highway"
"014", "92340", "CA", "Hesperia", "17288 Olive St", "-117.28559", "34.41650", "36201", "Hesperia-Olive Street"
"061", "92410", "CA", "San Bernardino", "24302 E. 4th St", "-117.27408", "34.10669", "36203", "San Bernardino"
"061", "92374", "CA", "Redlands", "500 N. Dearborn", "-117.14734", "34.05965", "36204", "Redlands"
"014", "92371", "CA", "Phelan", "Beekley and Phelan Rd", "-117.58982", "34.42505", "36207", "Phelan-Beekley Road & Phelan R"
"014", "92356", "CA", "Lucerne Valley", "8560 Aliento Rd", "-116.90687", "34.41008", "36208", "Lucerne Valley - Middle School"
"014", "93562", "CA", "Trona", "Telescope & Athol", "-117.37210", "35.77446", "36220", "Trona - Athol/Telescope #2"
"001", "95205", "CA", "Stockton", "1593 E Hazelton St", "-121.26897", "37.95075", "39252", "Stockton-Hazelton"
"035", "93422", "CA", "Morro Bay", "899 Morro Bay Bl", "-120.84260", "35.36639", "40833", "Morro Bay"
"035", "93433", "CA", "Grover Beach", "9 Le Sage Dr", "-120.63218", "35.12390", "40844", "Grover Beach-Lesage Drive"
"035", "93444", "CA", "Nipomo", "1300 Guadalupe Road", "-120.56389", "35.02079", "40849", "Nipomo-Guadalupe Road"
"001", "93446", "CA", "Paso Robles", "235 Santa Fe Av", "-120.65691", "35.61467", "40850", "Paso Robles"
